surface,atmosphere,logZ,logZ_err,ΔlnZ,bayes_factor
greybody,001bar_N2_1000ppm_SO2,-25.292835871281504,0.028949496105615594,-16.25661896298817,8.706429545779922e-08
greybody,01bar_N2_1000ppm_SO2,-12.603317496534947,0.055471405161734745,-3.567100588241612,0.02823760755532891
greybody,1bar_N2_1000ppm_SO2,-34.51708774839862,0.08133050524940509,-25.48087084010529,8.586148590781112e-12
greybody,10bar_N2_1000ppm_SO2,-37.28783188256682,0.13167884635314614,-28.251614974273487,5.376250696403439e-13
greybody,100bar_N2_1000ppm_SO2,-41.362375435426046,0.14835318147773346,-32.32615852713271,9.139611396592217e-15
greybody,001bar_N2_1000ppm_CH4,-14.574946330992617,0.02236909632066571,-5.538729422699282,0.003931518964946839
greybody,01bar_N2_1000ppm_CH4,-17.66974443315018,0.041432685899558556,-8.633527524856843,0.00017803551148297907
greybody,1bar_N2_1000ppm_CH4,-17.974129365903742,0.05813506013484933,-8.937912457610407,0.0001313148796336808
greybody,10bar_N2_1000ppm_CH4,-18.19559467748884,0.06639641213482697,-9.159377769195507,0.00010522835400690193
greybody,100bar_N2_1000ppm_CH4,-18.30551588261673,0.06868017476144256,-9.269298974323396,9.427457958124092e-05
greybody,001bar_N2_1ppm_CO2,-10.803511550973361,0.024873311310974783,-1.7672946426800262,0.1707944243160669
greybody,01bar_N2_1ppm_CO2,-10.893318529532955,0.026774068055466164,-1.8571016212396199,0.1561244831173147
greybody,1bar_N2_1ppm_CO2,-10.843648954227872,0.026675128365195394,-1.8074320459345365,0.1640749331702667
greybody,10bar_N2_1ppm_CO2,-12.244348701565754,0.05320548807821096,-3.2081317932724183,0.04043207823857851
greybody,001bar_N2_1ppm_H2O,-10.725950021354278,0.026848110220529905,-1.6897331130609423,0.184568776416066
greybody,01bar_N2_1ppm_H2O,-10.680396247052919,0.024957254315337855,-1.6441793387595833,0.193171025736264
greybody,1bar_N2_1ppm_H2O,-10.78825608601994,0.023483463333370858,-1.752039177726605,0.17341994854742393
greybody,10bar_N2_1ppm_H2O,-16.62943978699587,0.034978170171623954,-7.5932228787025355,0.0005038545722253699
greybody,001bar_N2_1ppm_SO2,-10.893683966506009,0.024761129260061313,-1.8574670582126735,0.15606743988227312
greybody,01bar_N2_1ppm_SO2,-11.735389097006571,0.023850781128039348,-2.699172188713236,0.06726116925509597
greybody,1bar_N2_1ppm_SO2,-16.466370366447805,0.022992979574403428,-7.43015345815447,0.0005930964894308044
greybody,10bar_N2_1ppm_SO2,-12.54327570339225,0.05544225637482736,-3.5070587950989154,0.02998497682948247
greybody,001bar_N2_1ppm_CH4,-10.663140991072545,0.022408405790741815,-1.62692408277921,0.19653316510006816
greybody,01bar_N2_1ppm_CH4,-10.7047801193446,0.025165219501822957,-1.6685632110512643,0.18851773134047028
greybody,1bar_N2_1ppm_CH4,-11.319829080804086,0.023589801172032698,-2.2836121725107503,0.10191540500446089
greybody,10bar_N2_1ppm_CH4,-16.5774574862149,0.027556049841972324,-7.541240577921565,0.0005307387903914235
greybody,100bar_N2_1ppm_CO2,-11.020049082206626,0.036307702572085994,-1.9838321739132905,0.1375411444994679
greybody,100bar_N2_1ppm_H2O,-17.51752069597487,0.08184165270388315,-8.481303787681535,0.00020730824051312302
greybody,100bar_N2_1ppm_SO2,-10.59188110433829,0.04790602527629746,-1.5556641960449547,0.21104915806174515
greybody,100bar_N2_1ppm_CH4,-20.00485217618414,0.06521725543667128,-10.968635267890805,1.7233846846532588e-05
