#This file contains the downward and upward spectral flux (per wavelength) at TOA and the #secondary eclipse depth (= planet to star flux ratio).
#Spectral fluxes given in [erg s^-1 cm^-3].
#bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_down_at_TOA   F_up_at_TOA     #planet/star flux ratio  
259     0.26138649        0.261353825          6.53384563e-05     3.05929e+06     1.67261e+06     3.86939e-06             
260     0.261451837       0.261419164          6.53547909e-05     3.16885e+06     1.73156e+06     3.86727e-06             
261     0.2615172         0.261484519          6.53711296e-05     3.27844e+06     1.79046e+06     3.86514e-06             
262     0.261582579       0.26154989           6.53874724e-05     3.38805e+06     1.8493e+06      3.86302e-06             
263     0.261647975       0.261615277          6.54038193e-05     3.4977e+06      1.9081e+06      3.8609e-06              
264     0.261713387       0.261680681          6.54201702e-05     3.60737e+06     1.96685e+06     3.85877e-06             
265     0.261778815       0.261746101          6.54365253e-05     3.71707e+06     2.02554e+06     3.85665e-06             
266     0.26184426        0.261811538          6.54528844e-05     3.83202e+06     2.08703e+06     3.85452e-06             
267     0.261909721       0.261876991          6.54692476e-05     4.03011e+06     2.19371e+06     3.8524e-06              
268     0.261975198       0.26194246           6.54856149e-05     4.25706e+06     2.31597e+06     3.85028e-06             
269     0.262040692       0.262007945          6.55019863e-05     4.48408e+06     2.43813e+06     3.84815e-06             
270     0.262106202       0.262073447          6.55183618e-05     4.71115e+06     2.56018e+06     3.84603e-06             
271     0.262171729       0.262138966          6.55347414e-05     4.93827e+06     2.68213e+06     3.84391e-06             
272     0.262237272       0.2622045            6.55511251e-05     5.16545e+06     2.80397e+06     3.84178e-06             
273     0.262302831       0.262270052          6.55675129e-05     5.39269e+06     2.9257e+06      3.83966e-06             
274     0.262368407       0.262335619          6.55839048e-05     5.61999e+06     3.04733e+06     3.83754e-06             
275     0.262433999       0.262401203          6.56003007e-05     5.84734e+06     3.16885e+06     3.83542e-06             
276     0.262499608       0.262466803          6.56167008e-05     6.07475e+06     3.29027e+06     3.83329e-06             
277     0.262565232       0.26253242           6.5633105e-05      6.30222e+06     3.41159e+06     3.83117e-06             
278     0.262630874       0.262598053          6.56495133e-05     6.52974e+06     3.53279e+06     3.82905e-06             
279     0.262696531       0.262663703          6.56659257e-05     6.75732e+06     3.65389e+06     3.82693e-06             
280     0.262762206       0.262729369          6.56823421e-05     6.98496e+06     3.77489e+06     3.82481e-06             
281     0.262827896       0.262795051          6.56987627e-05     7.21265e+06     3.89578e+06     3.82268e-06             
282     0.262893603       0.26286075           6.57151874e-05     7.42821e+06     4.00998e+06     3.82056e-06             
283     0.262959327       0.262926465          6.57316162e-05     7.48105e+06     4.03626e+06     3.81844e-06             
284     0.263025066       0.262992196          6.57480491e-05     7.48299e+06     4.03507e+06     3.81632e-06             
285     0.263090823       0.263057945          6.57644861e-05     7.48492e+06     4.03387e+06     3.8142e-06              
286     0.263156595       0.263123709          6.57809272e-05     7.48686e+06     4.03267e+06     3.81208e-06             
287     0.263222384       0.26318949           6.57973725e-05     7.4888e+06      4.03147e+06     3.80996e-06             
288     0.26328819        0.263255287          6.58138218e-05     7.49074e+06     4.03027e+06     3.80783e-06             
289     0.263354012       0.263321101          6.58302753e-05     7.49268e+06     4.02907e+06     3.80571e-06             
290     0.263419851       0.263386931          6.58467328e-05     7.49462e+06     4.02786e+06     3.80359e-06             
291     0.263485706       0.263452778          6.58631945e-05     7.49656e+06     4.02666e+06     3.80147e-06             
292     0.263551577       0.263518641          6.58796603e-05     7.4985e+06      4.02546e+06     3.79935e-06             
293     0.263617465       0.263584521          6.58961302e-05     7.50044e+06     4.02425e+06     3.79723e-06             
294     0.263683369       0.263650417          6.59126043e-05     7.50239e+06     4.02305e+06     3.79511e-06             
295     0.26374929        0.26371633           6.59290824e-05     7.50433e+06     4.02184e+06     3.79299e-06             
296     0.263815227       0.263782259          6.59455647e-05     7.50627e+06     4.02064e+06     3.79087e-06             
297     0.263881181       0.263848204          6.59620511e-05     7.50822e+06     4.01943e+06     3.78875e-06             
298     0.263947152       0.263914166          6.59785416e-05     7.50923e+06     4.01772e+06     3.78663e-06             
299     0.264013138       0.263980145          6.59950362e-05     7.49963e+06     4.01034e+06     3.78452e-06             
300     0.264079142       0.26404614           6.6011535e-05      7.48703e+06     4.00136e+06     3.7824e-06              
301     0.264145161       0.264112152          6.60280379e-05     7.47444e+06     3.99239e+06     3.78028e-06             
302     0.264211198       0.26417818           6.60445449e-05     7.46184e+06     3.98343e+06     3.77816e-06             
303     0.264277251       0.264244224          6.6061056e-05      7.44924e+06     3.97447e+06     3.77604e-06             
304     0.26434332        0.264310285          6.60775713e-05     7.43663e+06     3.96552e+06     3.77392e-06             
305     0.264409406       0.264376363          6.60940907e-05     7.42402e+06     3.95658e+06     3.7718e-06              
306     0.264475508       0.264442457          6.61106142e-05     7.41141e+06     3.94764e+06     3.76969e-06             
307     0.264541627       0.264508567          6.61271419e-05     7.3988e+06      3.9387e+06      3.76757e-06             
308     0.264607762       0.264574695          6.61436736e-05     7.38618e+06     3.92978e+06     3.76545e-06             
309     0.264673914       0.264640838          6.61602096e-05     7.37356e+06     3.92086e+06     3.76333e-06             
310     0.264740083       0.264706998          6.61767496e-05     7.36094e+06     3.91194e+06     3.76122e-06             
