#This file contains the downward and upward spectral flux (per wavelength) at TOA and the #secondary eclipse depth (= planet to star flux ratio).
#Spectral fluxes given in [erg s^-1 cm^-3].
#bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_down_at_TOA   F_up_at_TOA     #planet/star flux ratio  
142     0.253852598       0.253820874          6.34552185e-05     3.03624e+06     318156          7.59143e-07             
143     0.253916061       0.253884329          6.34710823e-05     3.08131e+06     322879          7.59143e-07             
144     0.25397954        0.2539478            6.348695e-05       3.1264e+06      327604          7.59143e-07             
145     0.254043035       0.254011287          6.35028218e-05     3.1715e+06      332330          7.59143e-07             
146     0.254106545       0.25407479           6.35186975e-05     3.21661e+06     337057          7.59143e-07             
147     0.254170072       0.254138309          6.35345772e-05     3.26173e+06     341785          7.59143e-07             
148     0.254233614       0.254201843          6.35504608e-05     3.30687e+06     346514          7.59143e-07             
149     0.254297173       0.254265394          6.35663484e-05     3.35201e+06     351245          7.59143e-07             
150     0.254360747       0.25432896           6.358224e-05       3.39716e+06     355976          7.59143e-07             
151     0.254424337       0.254392542          6.35981356e-05     3.44233e+06     360709          7.59143e-07             
152     0.254487943       0.25445614           6.36140351e-05     3.48751e+06     365443          7.59143e-07             
153     0.254551565       0.254519754          6.36299386e-05     3.5327e+06      370178          7.59143e-07             
154     0.254615203       0.254583384          6.36458461e-05     3.57729e+06     374851          7.59143e-07             
155     0.254678857       0.25464703           6.36617576e-05     3.53239e+06     370146          7.59143e-07             
156     0.254742527       0.254710692          6.3677673e-05      3.42363e+06     358750          7.59143e-07             
157     0.254806212       0.25477437           6.36935924e-05     3.31484e+06     347350          7.59143e-07             
158     0.254869914       0.254838063          6.37095158e-05     3.20603e+06     335948          7.59143e-07             
159     0.254933631       0.254901773          6.37254432e-05     3.09718e+06     324542          7.59143e-07             
160     0.254997365       0.254965498          6.37413745e-05     2.98831e+06     313134          7.59143e-07             
161     0.255061114       0.25502924           6.37573099e-05     2.87942e+06     301723          7.59143e-07             
162     0.25512488        0.255092997          6.37732492e-05     2.77049e+06     290310          7.59143e-07             
163     0.255188661       0.25515677           6.37891925e-05     2.66154e+06     278893          7.59143e-07             
164     0.255252458       0.255220559          6.38051398e-05     2.55256e+06     267473          7.59143e-07             
165     0.255316271       0.255284364          6.38210911e-05     2.44355e+06     256051          7.59143e-07             
166     0.2553801         0.255348186          6.38370464e-05     2.33452e+06     244626          7.59143e-07             
167     0.255443945       0.255412023          6.38530056e-05     2.22546e+06     233198          7.59143e-07             
168     0.255507806       0.255475876          6.38689689e-05     2.11637e+06     221767          7.59143e-07             
169     0.255571683       0.255539745          6.38849361e-05     2.00726e+06     210333          7.59143e-07             
170     0.255635576       0.25560363           6.39009074e-05     1.8987e+06      198958          7.59143e-07             
171     0.255699485       0.25566753           6.39168826e-05     1.84046e+06     192855          7.59143e-07             
172     0.25576341        0.255731447          6.39328618e-05     1.81448e+06     190133          7.59143e-07             
173     0.255827351       0.25579538           6.3948845e-05      1.78849e+06     187410          7.59143e-07             
174     0.255891307       0.255859329          6.39648323e-05     1.7625e+06      184686          7.59143e-07             
175     0.25595528        0.255923294          6.39808235e-05     1.7365e+06      181962          7.59143e-07             
176     0.256019269       0.255987275          6.39968187e-05     1.7105e+06      179237          7.59143e-07             
177     0.256083274       0.256051271          6.40128179e-05     1.68448e+06     176511          7.59143e-07             
178     0.256147295       0.256115284          6.40288211e-05     1.65847e+06     173784          7.59143e-07             
179     0.256211332       0.256179313          6.40448283e-05     1.63244e+06     171057          7.59143e-07             
180     0.256275384       0.256243358          6.40608395e-05     1.60641e+06     168330          7.59143e-07             
181     0.256339453       0.256307419          6.40768547e-05     1.58037e+06     165601          7.59143e-07             
182     0.256403538       0.256371496          6.40928739e-05     1.55433e+06     162872          7.59143e-07             
183     0.256467639       0.256435589          6.41088971e-05     1.52828e+06     160142          7.59143e-07             
184     0.256531756       0.256499697          6.41249244e-05     1.50222e+06     157412          7.59143e-07             
185     0.256595889       0.256563822          6.41409556e-05     1.47615e+06     154681          7.59143e-07             
186     0.256660038       0.256627963          6.41569908e-05     1.45056e+06     151999          7.59143e-07             
187     0.256724203       0.25669212           6.41730301e-05     1.45191e+06     152140          7.59143e-07             
188     0.256788384       0.256756293          6.41890733e-05     1.46881e+06     153912          7.59143e-07             
189     0.256852581       0.256820482          6.42051206e-05     1.48573e+06     155684          7.59143e-07             
190     0.256916794       0.256884688          6.42211719e-05     1.50264e+06     157456          7.59143e-07             
191     0.256981023       0.256948909          6.42372272e-05     1.51956e+06     159229          7.59143e-07             
192     0.257045269       0.257013146          6.42532865e-05     1.53649e+06     161003          7.59143e-07             
193     0.25710953        0.257077399          6.42693498e-05     1.55342e+06     162777          7.59143e-07             
194     0.257173807       0.257141669          6.42854171e-05     1.57035e+06     164551          7.59143e-07             
195     0.257238101       0.257205954          6.43014885e-05     1.58729e+06     166326          7.59143e-07             
196     0.25730241        0.257270255          6.43175639e-05     1.60423e+06     168101          7.59143e-07             
197     0.257366736       0.257334573          6.43336433e-05     1.62118e+06     169877          7.59143e-07             
198     0.257431077       0.257398907          6.43497267e-05     1.63813e+06     171653          7.59143e-07             
199     0.257495435       0.257463256          6.43658141e-05     1.65508e+06     173430          7.59143e-07             
200     0.257559809       0.257527622          6.43819055e-05     1.67204e+06     175207          7.59143e-07             
201     0.257624199       0.257592004          6.4398001e-05      1.689e+06       176984          7.59143e-07             
202     0.257688605       0.257656402          6.44141005e-05     1.70536e+06     178698          7.59143e-07             
203     0.257753027       0.257720816          6.44302041e-05     1.697e+06       177822          7.59143e-07             
204     0.257817466       0.257785246          6.44463116e-05     1.67576e+06     175597          7.59143e-07             
205     0.25788192        0.257849693          6.44624232e-05     1.65452e+06     173371          7.59143e-07             
206     0.25794639        0.257914155          6.44785388e-05     1.63327e+06     171145          7.59143e-07             
207     0.258010877       0.257978634          6.44946584e-05     1.61202e+06     168918          7.59143e-07             
208     0.25807538        0.258043128          6.45107821e-05     1.59076e+06     166690          7.59143e-07             
209     0.258139899       0.258107639          6.45269098e-05     1.5695e+06      164462          7.59143e-07             
210     0.258204434       0.258172166          6.45430415e-05     1.54823e+06     162233          7.59143e-07             
211     0.258268985       0.258236709          6.45591773e-05     1.52695e+06     160004          7.59143e-07             
212     0.258333552       0.258301268          6.45753171e-05     1.50568e+06     157774          7.59143e-07             
213     0.258398135       0.258365844          6.45914609e-05     1.48439e+06     155544          7.59143e-07             
214     0.258462735       0.258430435          6.46076088e-05     1.4631e+06      153313          7.59143e-07             
215     0.25852735        0.258495043          6.46237607e-05     1.4418e+06      151081          7.59143e-07             
216     0.258591982       0.258559666          6.46399166e-05     1.4205e+06      148849          7.59143e-07             
217     0.25865663        0.258624306          6.46560766e-05     1.3992e+06      146617          7.59143e-07             
218     0.258721294       0.258688962          6.46722406e-05     1.3793e+06      144532          7.59143e-07             
219     0.258785975       0.258753635          6.46884087e-05     1.40244e+06     146957          7.59143e-07             
220     0.258850671       0.258818323          6.47045808e-05     1.44584e+06     151505          7.59143e-07             
221     0.258915384       0.258883028          6.47207569e-05     1.48926e+06     156054          7.59143e-07             
222     0.258980113       0.258947748          6.47369371e-05     1.53268e+06     160604          7.59143e-07             
223     0.259044858       0.259012485          6.47531213e-05     1.57611e+06     165155          7.59143e-07             
224     0.259109619       0.259077238          6.47693096e-05     1.61956e+06     169707          7.59143e-07             
225     0.259174396       0.259142008          6.47855019e-05     1.66301e+06     174261          7.59143e-07             
226     0.25923919        0.259206793          6.48016983e-05     1.70648e+06     178815          7.59143e-07             
227     0.259304          0.259271595          6.48178987e-05     1.74995e+06     183371          7.59143e-07             
228     0.259368826       0.259336413          6.48341032e-05     1.79344e+06     187928          7.59143e-07             
229     0.259433668       0.259401247          6.48503117e-05     1.83694e+06     192486          7.59143e-07             
230     0.259498526       0.259466097          6.48665243e-05     1.88045e+06     197045          7.59143e-07             
231     0.259563401       0.259530964          6.48827409e-05     1.92397e+06     201606          7.59143e-07             
232     0.259628292       0.259595847          6.48989616e-05     1.9675e+06      206167          7.59143e-07             
233     0.259693199       0.259660745          6.49151864e-05     2.01104e+06     210730          7.59143e-07             
234     0.259758122       0.259725661          6.49314152e-05     2.0535e+06      215179          7.59143e-07             
235     0.259823062       0.259790592          6.4947648e-05      2.06982e+06     216889          7.59143e-07             
236     0.259888018       0.25985554           6.49638849e-05     2.07504e+06     217436          7.59143e-07             
237     0.25995299        0.259920504          6.49801259e-05     2.08026e+06     217982          7.59143e-07             
238     0.260017978       0.259985484          6.49963709e-05     2.08547e+06     218529          7.59143e-07             
239     0.260082982       0.26005048           6.501262e-05       2.09069e+06     219076          7.59143e-07             
240     0.260148003       0.260115493          6.50288732e-05     2.09591e+06     219623          7.59143e-07             
241     0.26021304        0.260180522          6.50451304e-05     2.10113e+06     220170          7.59143e-07             
242     0.260278093       0.260245567          6.50613917e-05     2.10636e+06     220717          7.59143e-07             
243     0.260343163       0.260310628          6.5077657e-05      2.11158e+06     221265          7.59143e-07             
244     0.260408249       0.260375706          6.50939264e-05     2.11681e+06     221812          7.59143e-07             
245     0.260473351       0.2604408            6.51101999e-05     2.12203e+06     222360          7.59143e-07             
246     0.260538469       0.26050591           6.51264775e-05     2.12726e+06     222908          7.59143e-07             
247     0.260603604       0.260571036          6.51427591e-05     2.13249e+06     223456          7.59143e-07             
248     0.260668755       0.260636179          6.51590448e-05     2.13772e+06     224004          7.59143e-07             
249     0.260733922       0.260701338          6.51753345e-05     2.14295e+06     224552          7.59143e-07             
250     0.260799105       0.260766514          6.51916284e-05     2.15204e+06     225504          7.59143e-07             
251     0.260864305       0.260831705          6.52079263e-05     2.23543e+06     234242          7.59143e-07             
252     0.260929521       0.260896913          6.52242283e-05     2.34735e+06     245970          7.59143e-07             
253     0.260994754       0.260962137          6.52405343e-05     2.45931e+06     257702          7.59143e-07             
254     0.261060002       0.261027378          6.52568445e-05     2.57129e+06     269436          7.59143e-07             
255     0.261125267       0.261092635          6.52731587e-05     2.6833e+06      281174          7.59143e-07             
256     0.261190549       0.261157908          6.5289477e-05      2.79534e+06     292914          7.59143e-07             
257     0.261255846       0.261223197          6.53057993e-05     2.90741e+06     304657          7.59143e-07             
258     0.26132116        0.261288503          6.53221258e-05     3.01951e+06     316403          7.59143e-07             
