#This file contains the downward and upward spectral flux (per wavelength) at TOA and the #secondary eclipse depth (= planet to star flux ratio).
#Spectral fluxes given in [erg s^-1 cm^-3].
#bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_down_at_TOA   F_up_at_TOA     #planet/star flux ratio  
274     0.262368407       0.262335619          6.55839048e-05     5.29892e+06     569914          7.177e-07               
275     0.262433999       0.262401203          6.56003007e-05     5.51328e+06     592331          7.16927e-07             
276     0.262499608       0.262466803          6.56167008e-05     5.7277e+06      614705          7.16156e-07             
277     0.262565232       0.26253242           6.5633105e-05      5.94217e+06     637036          7.15385e-07             
278     0.262630874       0.262598053          6.56495133e-05     6.1567e+06      659324          7.14615e-07             
279     0.262696531       0.262663703          6.56659257e-05     6.37128e+06     681570          7.13846e-07             
280     0.262762206       0.262729369          6.56823421e-05     6.58591e+06     703772          7.13078e-07             
281     0.262827896       0.262795051          6.56987627e-05     6.80059e+06     725931          7.1231e-07              
282     0.262893603       0.26286075           6.57151874e-05     7.00384e+06     746822          7.11544e-07             
283     0.262959327       0.262926465          6.57316162e-05     7.05366e+06     751325          7.10778e-07             
284     0.263025066       0.262992196          6.57480491e-05     7.05548e+06     750711          7.10013e-07             
285     0.263090823       0.263057945          6.57644861e-05     7.05731e+06     750097          7.09249e-07             
286     0.263156595       0.263123709          6.57809272e-05     7.05914e+06     749484          7.08486e-07             
287     0.263222384       0.26318949           6.57973725e-05     7.06096e+06     748872          7.07724e-07             
288     0.26328819        0.263255287          6.58138218e-05     7.06279e+06     748260          7.06963e-07             
289     0.263354012       0.263321101          6.58302753e-05     7.06462e+06     747648          7.06202e-07             
290     0.263419851       0.263386931          6.58467328e-05     7.06645e+06     747037          7.05442e-07             
291     0.263485706       0.263452778          6.58631945e-05     7.06828e+06     746427          7.04683e-07             
292     0.263551577       0.263518641          6.58796603e-05     7.07011e+06     745817          7.03925e-07             
293     0.263617465       0.263584521          6.58961302e-05     7.07194e+06     745207          7.03168e-07             
294     0.263683369       0.263650417          6.59126043e-05     7.07377e+06     744599          7.02412e-07             
295     0.26374929        0.26371633           6.59290824e-05     7.0756e+06      743990          7.01656e-07             
296     0.263815227       0.263782259          6.59455647e-05     7.07744e+06     743382          7.00901e-07             
297     0.263881181       0.263848204          6.59620511e-05     7.07927e+06     742775          7.00147e-07             
298     0.263947152       0.263914166          6.59785416e-05     7.08022e+06     742076          6.99394e-07             
299     0.264013138       0.263980145          6.59950362e-05     7.07117e+06     740330          6.98642e-07             
300     0.264079142       0.26404614           6.6011535e-05      7.0593e+06      738292          6.97891e-07             
301     0.264145161       0.264112152          6.60280379e-05     7.04742e+06     736258          6.9714e-07              
302     0.264211198       0.26417818           6.60445449e-05     7.03554e+06     734226          6.96391e-07             
303     0.264277251       0.264244224          6.6061056e-05      7.02366e+06     732198          6.95642e-07             
304     0.26434332        0.264310285          6.60775713e-05     7.01178e+06     730173          6.94894e-07             
305     0.264409406       0.264376363          6.60940907e-05     6.99989e+06     728151          6.94146e-07             
306     0.264475508       0.264442457          6.61106142e-05     6.988e+06       726133          6.934e-07               
307     0.264541627       0.264508567          6.61271419e-05     6.9761e+06      724117          6.92655e-07             
308     0.264607762       0.264574695          6.61436736e-05     6.96421e+06     722105          6.9191e-07              
309     0.264673914       0.264640838          6.61602096e-05     6.95231e+06     720096          6.91166e-07             
310     0.264740083       0.264706998          6.61767496e-05     6.9404e+06      718091          6.90423e-07             
311     0.264806268       0.264773175          6.61932938e-05     6.9285e+06      716088          6.8968e-07              
312     0.264872469       0.264839369          6.62098421e-05     6.91659e+06     714089          6.88939e-07             
313     0.264938687       0.264905578          6.62263946e-05     6.90468e+06     712093          6.88198e-07             
314     0.265004922       0.264971805          6.62429512e-05     6.88891e+06     709702          6.87459e-07             
315     0.265071173       0.265038048          6.62595119e-05     6.83542e+06     703435          6.8672e-07              
316     0.265137441       0.265104307          6.62760768e-05     6.77236e+06     696196          6.85981e-07             
317     0.265203725       0.265170583          6.62926458e-05     6.70928e+06     688971          6.85244e-07             
318     0.265270026       0.265236876          6.6309219e-05      6.64619e+06     681758          6.84507e-07             
319     0.265336344       0.265303185          6.63257963e-05     6.58308e+06     674559          6.83772e-07             
320     0.265402678       0.265369511          6.63423777e-05     6.51996e+06     667372          6.83037e-07             
