#This file contains the downward and upward spectral flux (per wavelength) at TOA and the #secondary eclipse depth (= planet to star flux ratio).
#Spectral fluxes given in [erg s^-1 cm^-3].
#bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_down_at_TOA   F_up_at_TOA     #planet/star flux ratio  
158     0.254869914       0.254838063          6.37095158e-05     3.20603e+06     458512          1.0361e-06              
159     0.254933631       0.254901773          6.37254432e-05     3.09718e+06     442946          1.0361e-06              
160     0.254997365       0.254965498          6.37413745e-05     2.98831e+06     427376          1.0361e-06              
161     0.255061114       0.25502924           6.37573099e-05     2.87942e+06     411802          1.0361e-06              
162     0.25512488        0.255092997          6.37732492e-05     2.77049e+06     396224          1.0361e-06              
163     0.255188661       0.25515677           6.37891925e-05     2.66154e+06     380642          1.0361e-06              
164     0.255252458       0.255220559          6.38051398e-05     2.55256e+06     365056          1.0361e-06              
165     0.255316271       0.255284364          6.38210911e-05     2.44355e+06     349467          1.0361e-06              
166     0.2553801         0.255348186          6.38370464e-05     2.33452e+06     333873          1.0361e-06              
167     0.255443945       0.255412023          6.38530056e-05     2.22546e+06     318276          1.0361e-06              
168     0.255507806       0.255475876          6.38689689e-05     2.11637e+06     302674          1.0361e-06              
169     0.255571683       0.255539745          6.38849361e-05     2.00726e+06     287069          1.0361e-06              
170     0.255635576       0.25560363           6.39009074e-05     1.8987e+06      271544          1.0361e-06              
171     0.255699485       0.25566753           6.39168826e-05     1.84046e+06     263214          1.0361e-06              
172     0.25576341        0.255731447          6.39328618e-05     1.81448e+06     259499          1.0361e-06              
173     0.255827351       0.25579538           6.3948845e-05      1.78849e+06     255783          1.0361e-06              
174     0.255891307       0.255859329          6.39648323e-05     1.7625e+06      252065          1.0361e-06              
175     0.25595528        0.255923294          6.39808235e-05     1.7365e+06      248347          1.0361e-06              
176     0.256019269       0.255987275          6.39968187e-05     1.7105e+06      244628          1.0361e-06              
177     0.256083274       0.256051271          6.40128179e-05     1.68448e+06     240908          1.0361e-06              
178     0.256147295       0.256115284          6.40288211e-05     1.65847e+06     237187          1.0361e-06              
179     0.256211332       0.256179313          6.40448283e-05     1.63244e+06     233465          1.0361e-06              
180     0.256275384       0.256243358          6.40608395e-05     1.60641e+06     229742          1.0361e-06              
181     0.256339453       0.256307419          6.40768547e-05     1.58037e+06     226018          1.0361e-06              
182     0.256403538       0.256371496          6.40928739e-05     1.55433e+06     222293          1.0361e-06              
183     0.256467639       0.256435589          6.41088971e-05     1.52828e+06     218567          1.0361e-06              
184     0.256531756       0.256499697          6.41249244e-05     1.50222e+06     214841          1.0361e-06              
185     0.256595889       0.256563822          6.41409556e-05     1.47615e+06     211113          1.0361e-06              
186     0.256660038       0.256627963          6.41569908e-05     1.45056e+06     207453          1.0361e-06              
187     0.256724203       0.25669212           6.41730301e-05     1.45191e+06     207645          1.0361e-06              
188     0.256788384       0.256756293          6.41890733e-05     1.46881e+06     210064          1.0361e-06              
189     0.256852581       0.256820482          6.42051206e-05     1.48573e+06     212482          1.0361e-06              
190     0.256916794       0.256884688          6.42211719e-05     1.50264e+06     214902          1.0361e-06              
191     0.256981023       0.256948909          6.42372272e-05     1.51956e+06     217321          1.0361e-06              
192     0.257045269       0.257013146          6.42532865e-05     1.53649e+06     219742          1.0361e-06              
193     0.25710953        0.257077399          6.42693498e-05     1.55342e+06     222163          1.0361e-06              
194     0.257173807       0.257141669          6.42854171e-05     1.57035e+06     224585          1.0361e-06              
195     0.257238101       0.257205954          6.43014885e-05     1.58729e+06     227007          1.0361e-06              
196     0.25730241        0.257270255          6.43175639e-05     1.60423e+06     229430          1.0361e-06              
197     0.257366736       0.257334573          6.43336433e-05     1.62118e+06     231854          1.0361e-06              
198     0.257431077       0.257398907          6.43497267e-05     1.63813e+06     234278          1.0361e-06              
199     0.257495435       0.257463256          6.43658141e-05     1.65508e+06     236703          1.0361e-06              
200     0.257559809       0.257527622          6.43819055e-05     1.67204e+06     239128          1.0361e-06              
201     0.257624199       0.257592004          6.4398001e-05      1.689e+06       241554          1.0361e-06              
202     0.257688605       0.257656402          6.44141005e-05     1.70536e+06     243893          1.0361e-06              
203     0.257753027       0.257720816          6.44302041e-05     1.697e+06       242698          1.0361e-06              
204     0.257817466       0.257785246          6.44463116e-05     1.67576e+06     239660          1.0361e-06              
205     0.25788192        0.257849693          6.44624232e-05     1.65452e+06     236622          1.0361e-06              
206     0.25794639        0.257914155          6.44785388e-05     1.63327e+06     233584          1.0361e-06              
207     0.258010877       0.257978634          6.44946584e-05     1.61202e+06     230544          1.0361e-06              
208     0.25807538        0.258043128          6.45107821e-05     1.59076e+06     227504          1.0361e-06              
209     0.258139899       0.258107639          6.45269098e-05     1.5695e+06      224463          1.0361e-06              
210     0.258204434       0.258172166          6.45430415e-05     1.54823e+06     221421          1.0361e-06              
211     0.258268985       0.258236709          6.45591773e-05     1.52695e+06     218379          1.0361e-06              
212     0.258333552       0.258301268          6.45753171e-05     1.50568e+06     215335          1.0361e-06              
213     0.258398135       0.258365844          6.45914609e-05     1.48439e+06     212291          1.0361e-06              
214     0.258462735       0.258430435          6.46076088e-05     1.4631e+06      209246          1.0361e-06              
215     0.25852735        0.258495043          6.46237607e-05     1.4418e+06      206201          1.0361e-06              
216     0.258591982       0.258559666          6.46399166e-05     1.4205e+06      203154          1.0361e-06              
217     0.25865663        0.258624306          6.46560766e-05     1.3992e+06      200107          1.0361e-06              
218     0.258721294       0.258688962          6.46722406e-05     1.3793e+06      197261          1.0361e-06              
219     0.258785975       0.258753635          6.46884087e-05     1.40244e+06     200571          1.0361e-06              
220     0.258850671       0.258818323          6.47045808e-05     1.44584e+06     206778          1.0361e-06              
221     0.258915384       0.258883028          6.47207569e-05     1.48926e+06     212987          1.0361e-06              
222     0.258980113       0.258947748          6.47369371e-05     1.53268e+06     219197          1.0361e-06              
223     0.259044858       0.259012485          6.47531213e-05     1.57611e+06     225409          1.0361e-06              
224     0.259109619       0.259077238          6.47693096e-05     1.61956e+06     231622          1.0361e-06              
225     0.259174396       0.259142008          6.47855019e-05     1.66301e+06     237837          1.0361e-06              
226     0.25923919        0.259206793          6.48016983e-05     1.70648e+06     244053          1.0361e-06              
227     0.259304          0.259271595          6.48178987e-05     1.74995e+06     250271          1.0361e-06              
228     0.259368826       0.259336413          6.48341032e-05     1.79344e+06     256490          1.0361e-06              
229     0.259433668       0.259401247          6.48503117e-05     1.83694e+06     262711          1.0361e-06              
230     0.259498526       0.259466097          6.48665243e-05     1.88045e+06     268934          1.0361e-06              
231     0.259563401       0.259530964          6.48827409e-05     1.92397e+06     275158          1.0361e-06              
232     0.259628292       0.259595847          6.48989616e-05     1.9675e+06      281384          1.0361e-06              
233     0.259693199       0.259660745          6.49151864e-05     2.01104e+06     287611          1.0361e-06              
234     0.259758122       0.259725661          6.49314152e-05     2.0535e+06      293683          1.0361e-06              
235     0.259823062       0.259790592          6.4947648e-05      2.06982e+06     296017          1.0361e-06              
236     0.259888018       0.25985554           6.49638849e-05     2.07504e+06     296763          1.0361e-06              
237     0.25995299        0.259920504          6.49801259e-05     2.08026e+06     297509          1.0361e-06              
238     0.260017978       0.259985484          6.49963709e-05     2.08547e+06     298255          1.0361e-06              
239     0.260082982       0.26005048           6.501262e-05       2.09069e+06     299002          1.0361e-06              
240     0.260148003       0.260115493          6.50288732e-05     2.09591e+06     299748          1.0361e-06              
