#This file contains the downward and upward spectral flux (per wavelength) at TOA and the #secondary eclipse depth (= planet to star flux ratio).
#Spectral fluxes given in [erg s^-1 cm^-3].
#bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_down_at_TOA   F_up_at_TOA     #planet/star flux ratio  
161     0.255061114       0.25502924           6.37573099e-05     1.45964e+06     911894          2.29435e-06             
162     0.25512488        0.255092997          6.37732492e-05     1.40443e+06     877015          2.29334e-06             
163     0.255188661       0.25515677           6.37891925e-05     1.3492e+06      842146          2.29231e-06             
164     0.255252458       0.255220559          6.38051398e-05     1.29395e+06     807318          2.29133e-06             
165     0.255316271       0.255284364          6.38210911e-05     1.23869e+06     772540          2.29044e-06             
166     0.2553801         0.255348186          6.38370464e-05     1.18342e+06     737753          2.28946e-06             
167     0.255443945       0.255412023          6.38530056e-05     1.12814e+06     702981          2.28846e-06             
168     0.255507806       0.255475876          6.38689689e-05     1.07284e+06     668172          2.28726e-06             
169     0.255571683       0.255539745          6.38849361e-05     1.01752e+06     633521          2.28653e-06             
170     0.255635576       0.25560363           6.39009074e-05     962497          599002          2.28555e-06             
171     0.255699485       0.25566753           6.39168826e-05     932972          580362          2.2845e-06              
172     0.25576341        0.255731447          6.39328618e-05     919802          571938          2.28358e-06             
173     0.255827351       0.25579538           6.3948845e-05      906629          563478          2.28249e-06             
174     0.255891307       0.255859329          6.39648323e-05     893453          555061          2.28156e-06             
175     0.25595528        0.255923294          6.39808235e-05     880273          546639          2.28058e-06             
176     0.256019269       0.255987275          6.39968187e-05     867091          538224          2.27961e-06             
177     0.256083274       0.256051271          6.40128179e-05     853905          529814          2.27864e-06             
178     0.256147295       0.256115284          6.40288211e-05     840715          521407          2.27766e-06             
179     0.256211332       0.256179313          6.40448283e-05     827522          512990          2.27662e-06             
180     0.256275384       0.256243358          6.40608395e-05     814327          504611          2.27573e-06             
181     0.256339453       0.256307419          6.40768547e-05     801127          496207          2.2747e-06              
182     0.256403538       0.256371496          6.40928739e-05     787925          487829          2.27376e-06             
183     0.256467639       0.256435589          6.41088971e-05     774719          479433          2.27272e-06             
184     0.256531756       0.256499697          6.41249244e-05     761510          471064          2.27178e-06             
185     0.256595889       0.256563822          6.41409556e-05     748297          462684          2.27076e-06             
186     0.256660038       0.256627963          6.41569908e-05     735323          454458          2.26975e-06             
187     0.256724203       0.25669212           6.41730301e-05     736005          454694          2.26882e-06             
188     0.256788384       0.256756293          6.41890733e-05     744576          459777          2.26777e-06             
189     0.256852581       0.256820482          6.42051206e-05     753150          464876          2.26682e-06             
190     0.256916794       0.256884688          6.42211719e-05     761725          469964          2.26583e-06             
191     0.256981023       0.256948909          6.42372272e-05     770303          475032          2.26477e-06             
192     0.257045269       0.257013146          6.42532865e-05     778882          480118          2.2638e-06              
193     0.25710953        0.257077399          6.42693498e-05     787464          485199          2.26282e-06             
194     0.257173807       0.257141669          6.42854171e-05     796048          490268          2.26181e-06             
195     0.257238101       0.257205954          6.43014885e-05     804634          495346          2.26085e-06             
196     0.25730241        0.257270255          6.43175639e-05     813222          500380          2.25971e-06             
197     0.257366736       0.257334573          6.43336433e-05     821812          505463          2.2588e-06              
198     0.257431077       0.257398907          6.43497267e-05     830405          510524          2.25781e-06             
199     0.257495435       0.257463256          6.43658141e-05     839000          515558          2.25672e-06             
200     0.257559809       0.257527622          6.43819055e-05     847596          520637          2.25584e-06             
201     0.257624199       0.257592004          6.4398001e-05      856195          525671          2.25477e-06             
202     0.257688605       0.257656402          6.44141005e-05     864486          530546          2.25386e-06             
203     0.257753027       0.257720816          6.44302041e-05     860249          527689          2.25276e-06             
204     0.257817466       0.257785246          6.44463116e-05     849484          520806          2.25155e-06             
205     0.25788192        0.257849693          6.44624232e-05     838715          514005          2.25068e-06             
206     0.25794639        0.257914155          6.44785388e-05     827945          507219          2.24986e-06             
207     0.258010877       0.257978634          6.44946584e-05     817171          500395          2.24886e-06             
208     0.25807538        0.258043128          6.45107821e-05     806395          493567          2.24781e-06             
209     0.258139899       0.258107639          6.45269098e-05     795615          486777          2.24692e-06             
210     0.258204434       0.258172166          6.45430415e-05     784834          479926          2.24573e-06             
211     0.258268985       0.258236709          6.45591773e-05     774049          473154          2.24489e-06             
212     0.258333552       0.258301268          6.45753171e-05     763262          466336          2.24381e-06             
213     0.258398135       0.258365844          6.45914609e-05     752472          459568          2.24296e-06             
214     0.258462735       0.258430435          6.46076088e-05     741680          452778          2.24197e-06             
215     0.25852735        0.258495043          6.46237607e-05     730885          445993          2.241e-06               
216     0.258591982       0.258559666          6.46399166e-05     720087          439201          2.23996e-06             
217     0.25865663        0.258624306          6.46560766e-05     709286          432413          2.23892e-06             
218     0.258721294       0.258688962          6.46722406e-05     699199          426084          2.23798e-06             
